airbnbhostid,airbnbpropertyid,city,superhost_period_all,hostresponseaverage_pastyear,available_days,available_days_avelistedprice,booked_days,booked_days_aveprice,listingtype,createddate,zipcode,bedrooms,bathrooms,instantbookenabled,numberofreviews,ratingoverall,revenue,reservations,host_is_superhost_1_0
32991339,13543171,New York,6,100.0,143,236.95803999999998,2,250.0,Entire home/apt,2016-06-15,11211,2,1.0,0,2,100,500.0,1,1.0
4981837,13602171,Los Angeles,7,100.0,95,240.61052,28,248.71427999999997,Entire home/apt,2016-06-19,90025,2,2.0,1,7,100,6964.0,1,1.0
344035,10605445,New York,10,99.34146,194,59.891754000000006,51,45.039215000000006,Private room,2016-01-14,11238,1,2.0,1,118,94,2297.0,19,1.0
22658916,14085597,Chicago,9,100.0,158,131.5443,40,170.45,Entire home/apt,2016-07-18,60642,2,1.0,1,45,98,6818.0,12,1.0
9338471,10158442,Los Angeles,5,100.0,195,80.410255,48,83.833336,Entire home/apt,2015-12-23,90063,1,1.0,1,50,96,4024.0,15,1.0
1564212,6223410,Philadelphia,8,100.0,88,35.18182,41,36.756096,Private room,2015-04-29,19148,1,1.5,0,25,96,1507.0,5,1.0
1217241,232612,New York,7,97.045456,170,102.1647,85,106.37647,Entire home/apt,2011-09-26,11216,0,1.0,0,200,95,9042.0,18,0.0
4769886,895350,New York,6,92.44068,122,85.0,0,0.0,Private room,2013-01-18,11221,1,1.0,0,3,87,0.0,0,0.0
29817997,5748301,New York,11,100.0,219,70.0,31,70.0,Private room,2015-03-22,11374,1,1.0,1,131,94,2170.0,6,0.0
39872146,9738438,New York,9,100.0,149,93.43624,22,108.181816,Entire home/apt,2015-11-29,11206,1,1.0,0,58,88,2380.0,6,0.0
111179641,16755248,New York,10,96.0,22,126.77273000000001,21,128.95238,Entire home/apt,2017-01-11,10022,1,1.0,1,38,88,2708.0,7,0.0
20271147,12819224,New York,12,100.0,22,114.72726999999999,6,113.33333600000002,Entire home/apt,2016-05-01,10026,0,1.0,0,17,95,680.0,2,0.0
19143862,3822053,Washington,12,98.007355,241,64.18672,36,68.0,Private room,2014-08-06,20001,1,1.5,0,5,92,2448.0,3,0.0
49038384,9463090,Miami,10,100.0,114,74.82455999999999,32,75.0,Entire home/apt,2015-11-13,33155,1,1.0,1,192,96,2400.0,12,1.0
63133513,12097450,Houston,6,100.0,195,209.78462000000002,29,312.2414,Entire home/apt,2016-03-27,77004,3,2.0,1,41,95,9055.0,9,0.0
74329020,13841319,Los Angeles,7,100.0,203,101.881775,32,102.4375,Entire home/apt,2016-07-03,90035,1,1.0,0,14,100,3278.0,9,1.0
1410306,17464142,New York,9,99.41836500000001,6,15.833332999999998,0,0.0,Private room,2017-02-24,7306,1,2.0,0,11,88,0.0,0,0.0
32226208,9886891,Los Angeles,7,99.76,111,215.27026,50,218.0,Entire home/apt,2015-12-07,90026,2,1.0,0,49,100,10900.0,6,1.0
23212298,19803042,New York,12,94.53333,136,147.53676000000002,33,150.18182,Entire home/apt,2017-08-24,11213,2,1.0,0,30,99,4956.0,8,1.0
5250635,3185811,Oakland,12,100.0,212,37.933964,59,40.0,Private room,2014-05-30,94605,1,1.0,0,121,92,2360.0,13,1.0
109027778,16557326,Houston,10,100.0,202,126.86633,26,136.34616,Entire home/apt,2016-12-28,77007,1,1.0,1,41,100,3545.0,8,1.0
36233413,16131807,Miami,11,100.0,140,61.5,20,62.85,Entire home/apt,2016-11-24,33166,1,1.0,0,65,99,1257.0,6,1.0
29795991,14438549,New York,12,97.90909,194,409.09277000000003,67,389.40297999999996,Entire home/apt,2016-08-08,10014,2,1.0,0,99,88,26090.0,13,0.0
69245527,13112787,Los Angeles,7,100.0,158,29.879747,15,33.8,Private room,2016-05-20,33024,1,1.0,1,35,97,507.0,4,1.0
26447279,7791468,Oakland,6,94.25714,116,70.61206999999999,0,0.0,Entire home/apt,2015-08-06,94611,0,1.0,1,32,92,0.0,0,1.0
2103888,424767,New York,9,100.0,185,278.5946,58,285.77585,Entire home/apt,2012-04-09,10016,0,1.0,0,144,99,16575.0,11,1.0
99571467,16443585,Los Angeles,9,100.0,153,83.45752,77,82.454544,Entire home/apt,2016-12-19,90019,1,1.0,1,38,99,6349.0,15,1.0
1864688,2459792,Washington,9,99.671234,195,100.558975,75,112.73333000000001,Entire home/apt,2014-02-24,20009,1,1.0,1,161,95,8455.0,17,1.0
462776,1857366,New York,9,100.0,185,166.97298,64,189.40625,Entire home/apt,2013-10-28,10022,1,1.0,1,206,93,12122.0,18,0.0
114726995,17188155,Miami,11,100.0,84,94.34524,37,112.02702,Private room,2017-02-08,33316,1,1.0,1,64,99,4145.0,19,1.0
1474071,282977,New York,9,100.0,176,123.30113999999999,25,121.36,Private room,2011-12-05,11215,4,1.0,0,195,96,3034.0,5,1.0
56855481,13584472,Washington,7,100.0,200,67.625,34,69.05882,Private room,2016-06-18,20003,1,1.0,0,49,93,2348.0,17,0.0
17559958,16190549,New York,9,100.0,167,142.53293,19,128.36842,Private room,2016-11-28,10016,1,1.0,1,40,93,2439.0,10,0.0
13347167,2995209,New York,11,100.0,77,100.0,0,0.0,Entire home/apt,2017-05-24,10021,1,1.0,0,1,100,0.0,0,0.0
98794863,17777321,Washington,12,99.16,7,35.42857,4,38.0,Private room,2017-03-16,20019,1,1.5,1,124,88,152.0,3,0.0
33761820,6464346,Philadelphia,12,99.75220999999999,57,83.12281,9,95.0,Private room,2015-05-17,19130,0,1.0,1,64,95,855.0,3,1.0
71453552,12979462,New York,8,100.0,186,129.0,34,132.26471,Entire home/apt,2016-05-11,11205,2,1.0,1,57,95,4497.0,12,0.0
48953898,9446525,Miami,9,100.0,177,109.38418,67,104.49254,Entire home/apt,2015-11-12,33133,2,1.0,1,36,97,7001.0,8,1.0
60205644,13504544,New York,5,99.0,154,55.0,56,55.0,Private room,2016-06-13,10451,1,1.0,0,22,87,3080.0,16,0.0
100704524,20946803,New York,10,100.0,223,200.75336000000001,16,223.1875,Entire home/apt,2017-09-13,7304,6,2.0,1,14,96,3571.0,12,0.0
44949993,15165917,Washington,11,99.863014,242,52.98347,22,54.772728,Private room,2016-09-20,20001,1,2.5,1,80,90,1205.0,11,0.0
34583,742974,Los Angeles,10,100.0,68,95.0,0,0.0,Private room,2012-10-16,90046,1,1.0,0,11,96,0.0,0,1.0
149929,813225,New York,12,100.0,90,63.266666,27,65.0,Private room,2012-11-27,11238,1,2.0,0,24,97,1755.0,5,1.0
6792748,1246549,Los Angeles,9,99.60714,182,212.86812999999998,16,231.875,Entire home/apt,2013-06-06,90046,1,1.0,1,68,97,3710.0,5,1.0
29408535,19072386,Los Angeles,11,100.0,147,73.537415,49,73.408165,Entire home/apt,2017-06-01,90026,0,1.0,1,49,100,3597.0,18,1.0
14497401,2833952,Washington,7,100.0,193,92.90156,47,97.38298,Entire home/apt,2014-04-18,20016,0,1.0,0,147,96,4577.0,18,0.0
36153054,16354170,New York,11,100.0,202,137.5594,49,140.28572,Entire home/apt,2016-12-12,11102,2,1.0,1,69,84,6874.0,14,0.0
22608682,9690523,Chicago,5,100.0,202,34.554455,40,45.65,Private room,2015-11-26,60624,1,2.5,1,68,95,1826.0,22,0.0
158444643,21883309,New York,12,98.5,134,246.47015,53,250.0,Entire home/apt,2017-12-06,10018,2,1.0,0,21,100,13250.0,9,1.0
13685322,6450836,Los Angeles,6,99.60256,221,140.1991,56,147.875,Entire home/apt,2015-05-16,90017,1,1.0,1,94,94,8281.0,20,0.0
4422962,11438189,New York,7,100.0,121,145.0,45,142.11111,Entire home/apt,2016-02-21,11233,3,1.0,0,46,93,6395.0,11,0.0
23322773,5238691,Dallas,8,97.138885,210,81.45238,0,0.0,Private room,2015-01-30,75204,1,1.0,0,33,96,0.0,0,1.0
46810144,8956253,New York,8,91.7,162,96.59259,39,96.23076999999999,Private room,2015-10-16,11225,1,1.0,0,23,99,3753.0,3,1.0
12549759,11711957,New York,6,97.31035,194,155.92784,49,166.30612,Entire home/apt,2016-03-05,11213,2,1.0,1,20,80,8149.0,4,0.0
74821049,13276073,New York,8,100.0,174,250.5747,34,275.0,Entire home/apt,2016-05-30,11106,3,1.0,0,14,95,9350.0,4,1.0
39952184,7617963,Philadelphia,6,100.0,206,57.524273,10,50.0,Private room,2015-07-26,19133,1,1.5,1,32,95,500.0,5,0.0
21684667,9477821,Miami,9,100.0,179,115.65363,63,124.809525,Entire home/apt,2015-11-14,33166,1,1.0,1,167,99,7863.0,17,1.0
237114,51546,Los Angeles,6,100.0,155,129.27097,20,128.45,Entire home/apt,2010-09-19,90068,1,1.0,0,125,98,2569.0,4,1.0
17544374,12324726,Washington,6,99.0,193,64.81865,54,59.72221999999999,Private room,2016-04-07,20001,1,1.0,0,54,97,3225.0,20,0.0
10186449,13266334,Los Angeles,6,97.454544,195,57.338463,24,53.875,Private room,2016-05-29,90028,1,1.5,0,31,92,1293.0,4,0.0
5325719,9215569,New York,9,99.07143,211,359.67773,32,499.375,Entire home/apt,2015-11-01,10018,3,1.0,1,68,94,15980.0,7,0.0
4129250,4993875,Los Angeles,8,100.0,198,52.414143,33,54.030304,Private room,2014-12-26,90034,1,1.0,0,50,98,1783.0,7,1.0
53955282,10470258,New York,11,100.0,137,165.9489,43,173.60464,Entire home/apt,2016-01-08,10037,0,1.0,0,65,98,7465.0,9,1.0
735786,7858532,New York,5,96.15151,230,56.239132,45,56.55555699999999,Private room,2015-08-11,11213,1,1.0,0,12,95,2545.0,2,0.0
